Ref,Val,Package,PosX,PosY,Rot,Side
C10,10uF,C_0805,7.110000,6.950000,180.000000,bottom
C13,10uF,C_0805,10.660000,14.120000,180.000000,bottom
C14,470p,C_0805,14.320000,5.788000,270.000000,bottom
C16,NI,C_0603,12.560000,5.470000,270.000000,bottom
C21,1uF,C_0603,20.162000,16.456000,0.000000,bottom
C37,1uF,C_0603,12.730000,29.550000,0.000000,bottom
C41,1uF,C_0603,46.324000,39.316000,270.000000,bottom
C47,0.1uF,C_0603,34.900000,13.300000,0.000000,bottom
C48,0.1uF,C_0603,35.600000,15.300000,180.000000,bottom
C49,0.1uF,C_0603,41.400000,14.000000,0.000000,bottom
C51,0.1uF,C_0603,45.550000,13.916000,0.000000,bottom
C52,1uF,C_0603,49.626000,39.316000,90.000000,bottom
C54,NI,C_0603,53.660000,13.620000,180.000000,bottom
C55,10uF,C_0805,32.354000,19.758000,180.000000,bottom
C57,10uF,C_0805,32.100000,31.696000,180.000000,bottom
C58,10uF,C_0805,42.510000,27.370000,270.000000,bottom
C59,10uF,C_0805,46.980000,34.990000,90.000000,bottom
C60,10uF,C_0805,40.710000,24.770000,90.000000,bottom
C61,10uF,C_0805,37.120000,35.010000,90.000000,bottom
C63,1uF,C_0603,41.500000,16.150000,270.000000,bottom
C64,1uF,C_0603,51.404000,22.806000,0.000000,bottom
C65,1uF,C_0603,31.592000,25.600000,180.000000,bottom
C66,1uF,C_0603,38.750000,16.600000,270.000000,bottom
C67,1uF,C_0603,52.420000,24.584000,0.000000,bottom
C68,1uF,C_0603,51.404000,27.378000,0.000000,bottom
C69,1uF,C_0603,45.816000,16.202000,270.000000,bottom
C71,22uF,C_1206,58.516000,50.238000,90.000000,bottom
C72,1uF,C_0603,39.310000,35.010000,90.000000,bottom
C73,1uF,C_0603,42.700000,35.748000,90.000000,bottom
C74,1uF,C_0603,43.276000,16.214000,270.000000,bottom
C76,22uF,C_1206,56.230000,50.238000,90.000000,bottom
C77,1uF,C_0603,34.150000,35.030000,90.000000,bottom
C78,22uF,C_1206,53.944000,50.238000,90.000000,bottom
C80,1uF,C_0603,50.170000,34.850000,90.000000,bottom
C81,22uF,C_1206,51.658000,50.238000,90.000000,bottom
C82,1uF,C_0603,33.370000,15.960000,270.000000,bottom
C84,22uF,C_1206,49.372000,50.238000,90.000000,bottom
C85,1uF,C_0603,45.140000,34.820000,90.000000,bottom
C86,1uF,C_0603,51.404000,21.028000,0.000000,bottom
C87,1uF,C_0603,48.356000,15.948000,270.000000,bottom
C88,1uF,C_0603,32.410000,27.720000,180.000000,bottom
C89,1uF,C_0603,32.354000,22.806000,180.000000,bottom
C92,1uF,C_0603,51.404000,31.442000,0.000000,bottom
C93,1uF,C_0603,32.354000,29.918000,180.000000,bottom
C98,1uF,C_0603,54.464000,29.918000,180.000000,bottom
C99,1uF,C_0603,54.440000,26.108000,180.000000,bottom
C100,1uF,C_0603,62.580000,24.838000,270.000000,bottom
C101,1uF,C_0603,61.818000,21.282000,90.000000,bottom
C102,0.1uF,C_0603,62.834000,40.078000,90.000000,bottom
C104,1uF,C_0603,60.660000,39.870000,270.000000,bottom
C106,3.6p,C_0805,71.800000,12.646000,270.000000,bottom
C107,3.6p,C_0805,68.300000,12.000000,270.000000,bottom
C108,3.6p,C_0805,64.800000,12.000000,270.000000,bottom
C109,3.6p,C_0805,61.250000,12.050000,270.000000,bottom
C110,1uF,C_0603,71.470000,43.888000,180.000000,bottom
R3,1,R_0603,10.120000,39.310000,270.000000,bottom
R4,2k 1%,R_0603,9.810000,22.840000,90.000000,bottom
R12,910,R_0603,10.460000,10.540000,135.000000,bottom
R17,20k,R_0603,14.050000,8.950000,90.000000,bottom
R19,NI,R_0603,12.520000,8.220000,90.000000,bottom
R28,2M,R_0603,20.140000,14.870000,180.000000,bottom
R78,1,R_0603,52.420000,46.428000,270.000000,bottom
R79,1,R_0603,50.896000,46.428000,270.000000,bottom
R80,1,R_0603,49.372000,46.428000,270.000000,bottom
R86,910,R_0603,57.560000,40.820000,90.000000,bottom
R90,10k,R_0603,58.770000,28.902000,180.000000,bottom
R91,10k,R_0603,58.262000,24.076000,180.000000,bottom
C1,10uF,C_0805,9.660000,47.220000,270.000000,top
C2,22uF,C_1206,7.460000,48.120000,270.000000,top
C3,15p,C_0603,12.760000,41.420000,0.000000,top
C4,470p,C_0805,12.850000,43.000000,0.000000,top
C5,2.2p,C_0603,7.480000,16.610000,0.000000,top
C6,10uF,C_0805,8.560000,30.770000,0.000000,top
C7,1uF,C_0603,14.535000,44.620000,0.000000,top
C8,1uF,C_0603,17.035000,47.045000,180.000000,top
C9,NI,C_0603,16.950000,49.820000,180.000000,top
C11,0.1uF,C_0603,7.510000,6.870000,180.000000,top
C12,0.1uF,C_0603,11.780000,14.424000,180.000000,top
C15,15p,C_0603,28.985000,49.145000,270.000000,top
C17,NI,C_0603,14.310000,37.140000,270.000000,top
C18,3..10p,C_Trimmer_Murata_TZC3,25.550000,51.530000,180.000000,top
C19,1uF,C_0603,23.460000,19.020000,180.000000,top
C20,1uF,C_0603,23.650000,4.980000,180.000000,top
C22,1uF,C_0603,20.380000,15.350000,0.000000,top
C23,1uF,C_0603,20.480000,8.450000,0.000000,top
C24,10uF,C_0805,28.960000,35.220000,270.000000,top
C25,0.1uF,C_0603,27.160000,37.020000,225.000000,top
C26,0.1uF,C_0603,25.970000,48.130000,0.000000,top
C27,6.2p,C_0603,17.460000,17.345000,270.000000,top
C28,6.2p,C_0603,17.400000,6.540000,270.000000,top
C29,0.1uF,C_0603,22.260000,49.020000,180.000000,top
C30,1uF,C_0603,25.410000,37.220000,45.000000,top
C31,0.1uF,C_0603,15.460000,41.720000,90.000000,top
C32,1uF,C_0603,27.810000,39.670000,45.000000,top
C33,10uF,C_0805,10.060000,51.720000,180.000000,top
C34,15p,C_0603,26.860000,13.350000,270.000000,top
C35,15p,C_0603,26.870000,10.420000,90.000000,top
C36,0.1uF,C_0603,16.560000,38.420000,270.000000,top
C38,2.2p,C_0603,28.500000,13.330000,270.000000,top
C39,2.2p,C_0603,28.500000,10.420000,90.000000,top
C40,10uF,C_0805,32.535000,51.395000,270.000000,top
